"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"878",543548,"Tommy Milone","878","100.00","0.317","0.293","0.329","0.610","0.407","0.362","0.287","65","205","81.1","19.3","2162","84.0","83.65","75","391","472","-0.4","6.10","110","152","112","147","295","308","292"
"872",488984,"Tommy Hunter","872","100.00","0.202","0.131","0.259","0.333","0.260","0.234","0.186","43","213","79.0","14.3","2543","92.8","92.47","113","435","434","-0.3","6.13","117","152","115","147","298","326","296"
"868",407822,"Jorge De La Rosa","868","100.00","0.240","0.156","0.277","0.396","0.315","0.293","0.221","46","192","80.5","14.2","1784","88.6","87.29","130","422","422","-1.3","5.55","110","152","113","148","301","323","301"
"866",600917,"Jose Leclerc","866","100.00","0.146","0.108","0.204","0.255","0.285","0.274","0.139","23","157","79.6","25.1","2524","89.9","88.50","143","369","492","-1.4","5.47","105","149","111","147","298","327","297"
"865",519096,"Dan Otero","865","100.00","0.273","0.121","0.303","0.394","0.302","0.316","0.295","63","231","79.9","5.4","1937","88.4","89.07","70","466","381","0.7","6.62","109","151","113","149","289","313","291"
"865",527055,"Arodys Vizcaino","865","100.00","0.199","0.152","0.248","0.351","0.279","0.291","0.207","42","211","82.6","19.1","2368","93.2","91.87","135","435","421","-1.3","5.66","108","148","111","150","300","319","289"
"863",276542,"Joaquin Benoit","863","100.00","0.228","0.180","0.263","0.407","0.315","0.298","0.212","43","189","80.9","23.8","2032","91.0","90.12","124","448","410","-0.9","6.00","111","152","110","149","295","316","293"
"862",571871,"Ian Krol","862","100.00","0.266","0.186","0.307","0.452","0.351","0.333","0.253","50","188","82.3","15.4","2337","89.7","88.02","104","406","450","-1.7","5.33","108","148","114","149","297","315","288"
"861",425492,"Ryan Madson","861","100.00","0.187","0.069","0.267","0.256","0.221","0.246","0.209","38","203","80.1","10.2","2186","91.3","91.02","123","421","424","-0.3","6.18","111","152","112","149","295","322","297"
"860",592593,"Justin Nicolino","860","100.00","0.324","0.196","0.339","0.520","0.386","0.379","0.318","66","204","82.2","10.0","1985","86.8","84.72","58","375","460","-2.1","5.22","107","151","108","149","295","320","298"
"860",592741,"Chasen Shreve","860","100.00","0.205","0.205","0.252","0.409","0.311","0.286","0.193","35","171","82.6","20.4","2004","88.0","87.38","131","388","460","-0.6","6.01","108","151","113","145","297","320","289"
"853",491703,"Neftali Feliz","853","100.00","0.234","0.234","0.246","0.468","0.343","0.341","0.246","40","171","81.8","23.1","2332","92.5","91.80","106","419","427","-0.7","5.97","115","153","115","147","299","315","294"
"850",624586,"James Hoyt","850","100.00","0.262","0.169","0.361","0.431","0.327","0.300","0.240","51","195","82.7","15.6","2195","88.4","88.10","152","420","426","-0.3","6.08","110","149","115","150","286","315","293"
"848",519008,"T.J. McFarland","848","100.00","0.300","0.106","0.326","0.406","0.332","0.299","0.255","65","217","82.5","-2.0","2041","89.1","87.99","63","404","419","-1.1","5.57","108","151","113","146","302","322","297"
"841",501593,"Luis Avilan","841","100.00","0.246","0.123","0.342","0.368","0.316","0.302","0.232","42","171","78.7","8.2","2250","87.0","85.84","126","380","443","-1.2","5.63","111","151","109","145","294","319","292"
"837",595032,"Chase Whitley","837","100.00","0.222","0.125","0.257","0.347","0.278","0.314","0.256","48","216","82.6","21.5","2030","85.6","85.07","117","431","392","-0.5","6.05","116","151","116","145","293","324","296"
"831",592426,"Luke Jackson","831","100.00","0.278","0.131","0.313","0.409","0.334","0.355","0.281","55","198","83.0","13.6","2149","89.7","89.78","89","404","407","0.1","6.32","108","148","112","149","301","318","287"
"826",543331,"J.J. Hoover","826","100.00","0.276","0.194","0.367","0.471","0.371","0.329","0.240","47","170","82.3","23.3","2441","88.6","87.76","110","336","482","-0.8","5.69","108","152","114","149","303","323","299"
